Customer ID	Country	State	City	ZIP	Address
RH-19495	USA	NM	Las Cruces	88011	3751 Del Rey Boulevard
JR-16210	USA	NM	Gallup	87301	4311 East Lohman Avenue
CR-12730	USA	NM	Crownpoint	87313	1901 Redrock Drive
KM-16375	USA	NM	Tucumcari	88401	State Route 371 And Route 9
RH-9495	USA	NM	Espanola	87532	301 East Miel De Luna Avenue
JM-15655	USA	AZ	Gilbert	85295	1010 Spruce Street
TS-21340	USA	AZ	Gilbert	85206	5656 South Power Road
MB-18085	USA	NM	Clovis	88101	5652 E Baseline Road
JW-15220	USA	NM	Gallup	87301	2100 North Martin Luther King Junior Boulevard
JH-15985	USA	NM	Albuquerque	87102	516 Nizhoni Boulevard
GM-14695	USA	NM	Albuquerque	87102	504 Elm Street Northeast
AJ-10780	USA	NM	Albuquerque	87114	505 Elm Street Northeast
MM-7260	USA	NM	Albuquerque	87106	10501 Golf Course Road Northwest
VF-21715	USA	NM	Albuquerque	87102	2211 Lomas Boulevard Northeast
PF-19120	USA	NM	Albuquerque	87110	700 High Street Northeast
BP-11185	USA	NM	Albuquerque	87109	8300 Constitution Avenue Northeast
TB-21175	USA	NM	Albuquerque	87106	4701 Montgomery Boulevard Northeast
PJ-18835	USA	NM	Roswell	88203	1100 Central Avenue Southeast
JS-15685	USA	NM	Roswell	88201	72 Gail Harris St
RH-9555	USA	NM	Roswell	88201	405 West Country Club Road
AB-600	USA	NM	Grants	87020	117 East 19Th Street
SA-20830	USA	NM	Raton	87740	1016 East Roosevelt Avenue
JK-15325	USA	NV	Las Vegas	89149	203 Hospital Drive
LB-16795	USA	NM	Rio Rancho	87144	6900 North Durango Drive
NP-18325	USA	NM	Albuquerque	87102	3001 Broadmoor Blvd Ne
VD-21670	USA	NM	Albuquerque	87108	239 Elm Street Ne
PB-19210	USA	NM	Albuquerque	87108	"5400 Gibson Boulevard Se,4Th Floor"
EB-14110	USA	NV	Boulder City	89005	5901 Zuni Se
KF-16285	USA	NV	Dayton	89403	901 Adams Boulevard
BP-11230	USA	OH	Warren	44484	1001 Medical Center Drive
